bert.embeddings.position_ids  tensor(0.9980, device='cuda:0')
bert.embeddings.word_embeddings.weight  tensor(0.9994, device='cuda:0')
bert.embeddings.position_embeddings.weight  tensor(0.9946, device='cuda:0')
bert.embeddings.token_type_embeddings.weight  tensor(0.9957, device='cuda:0')
bert.embeddings.LayerNorm.weight  tensor(1.0000, device='cuda:0')
bert.embeddings.LayerNorm.bias  tensor(1.0000, device='cuda:0')
bert.encoder.layer.0.attention.self.query.weight  tensor(0.9989, device='cuda:0')
bert.encoder.layer.0.attention.self.query.bias  tensor(1.0000, device='cuda:0')
bert.encoder.layer.0.attention.self.key.weight  tensor(0.9989, device='cuda:0')
bert.encoder.layer.0.attention.self.key.bias  tensor(0.9998, device='cuda:0')
bert.encoder.layer.0.attention.self.value.weight  tensor(0.9980, device='cuda:0')
bert.encoder.layer.0.attention.self.value.bias  tensor(0.9999, device='cuda:0')
bert.encoder.layer.0.attention.output.dense.weight  tensor(0.9979, device='cuda:0')
bert.encoder.layer.0.attention.output.dense.bias  tensor(0.9998, device='cuda:0')
bert.encoder.layer.0.attention.output.LayerNorm.weight  tensor(1.0000, device='cuda:0')
bert.encoder.layer.0.attention.output.LayerNorm.bias  tensor(1.0000, device='cuda:0')
bert.encoder.layer.0.intermediate.dense.weight  tensor(0.9986, device='cuda:0')
bert.encoder.layer.0.intermediate.dense.bias  tensor(0.9999, device='cuda:0')
bert.encoder.layer.0.output.dense.weight  tensor(0.9985, device='cuda:0')
bert.encoder.layer.0.output.dense.bias  tensor(1.0000, device='cuda:0')
bert.encoder.layer.0.output.LayerNorm.weight  tensor(1.0000, device='cuda:0')
bert.encoder.layer.0.output.LayerNorm.bias  tensor(1.0000, device='cuda:0')
bert.encoder.layer.1.attention.self.query.weight  tensor(0.9989, device='cuda:0')
bert.encoder.layer.1.attention.self.query.bias  tensor(1.0000, device='cuda:0')
bert.encoder.layer.1.attention.self.key.weight  tensor(0.9989, device='cuda:0')
bert.encoder.layer.1.attention.self.key.bias  tensor(0.9999, device='cuda:0')
bert.encoder.layer.1.attention.self.value.weight  tensor(0.9981, device='cuda:0')
bert.encoder.layer.1.attention.self.value.bias  tensor(0.9999, device='cuda:0')
bert.encoder.layer.1.attention.output.dense.weight  tensor(0.9978, device='cuda:0')
bert.encoder.layer.1.attention.output.dense.bias  tensor(0.9999, device='cuda:0')
bert.encoder.layer.1.attention.output.LayerNorm.weight  tensor(1.0000, device='cuda:0')
bert.encoder.layer.1.attention.output.LayerNorm.bias  tensor(1.0000, device='cuda:0')
bert.encoder.layer.1.intermediate.dense.weight  tensor(0.9987, device='cuda:0')
bert.encoder.layer.1.intermediate.dense.bias  tensor(0.9999, device='cuda:0')
bert.encoder.layer.1.output.dense.weight  tensor(0.9987, device='cuda:0')
bert.encoder.layer.1.output.dense.bias  tensor(0.9999, device='cuda:0')
bert.encoder.layer.1.output.LayerNorm.weight  tensor(1.0000, device='cuda:0')
bert.encoder.layer.1.output.LayerNorm.bias  tensor(1.0000, device='cuda:0')
bert.encoder.layer.2.attention.self.query.weight  tensor(0.9991, device='cuda:0')
bert.encoder.layer.2.attention.self.query.bias  tensor(0.9999, device='cuda:0')
bert.encoder.layer.2.attention.self.key.weight  tensor(0.9991, device='cuda:0')
bert.encoder.layer.2.attention.self.key.bias  tensor(0.9999, device='cuda:0')
bert.encoder.layer.2.attention.self.value.weight  tensor(0.9980, device='cuda:0')
bert.encoder.layer.2.attention.self.value.bias  tensor(0.9999, device='cuda:0')
bert.encoder.layer.2.attention.output.dense.weight  tensor(0.9977, device='cuda:0')
bert.encoder.layer.2.attention.output.dense.bias  tensor(1.0000, device='cuda:0')
bert.encoder.layer.2.attention.output.LayerNorm.weight  tensor(1.0000, device='cuda:0')
