,label,sentence
33,1,"Incredibly hilarious mid-70's Italian Rootsploitation with lots of non-consensual S&M, lesbian sex, gratuitous racial cruelty etc...Few redeeming cinematic qualities, except for the fairly cool theme music with dubby ""African"" drums and flute. Brilliant sample dialog:   White Slave Owner (to White Plantation Manager): ""You're so dumb, I'll bet you forgot to interrogate that n****r midwife!""  White Plantation Manager: ""Not only did I interrogate her, I did it so well she died before I could get any answers from her!""  All the black actors have 70's afros, and say ""yes, massa"" in a high-pitched voice. The female lead has sex with everybody on the plantation. 10 Stars for fans of tasteless sleaze."
34,1,"The ""old dark house"" sub-genre that dominated the early talkies rarely fails to disappoint when we re-view the oldies to-day. Here is one that provides so very many suspicious characters you have to wonder how they will be able to tie up all the loose ends in the 6 reel running time.  The Crooked Circle is a gang of counterfeiters and thieves who have decided to take revenge on Col. Walters (Berton Churchill) who has sent one of their ranks to prison. They decide he must die that very night. Meanwhile the Colonel's own group, The Sphinx Club, is determined to protect him at all costs. This does not sit well with Thelma (Irene Purcell) fiancée of club member Brand Osborne (Ben Lyon, late of the mega-budgeted HELL'S ANGELS (1930)) who wants him to quit the club and stop endangering his own life. Brand promises to resign after saving the colonel's life. Everyone heads off to Walters newly purchased mansion on Long Island to await the assassin.  The Colonel might be the new owner of Melody Manor but it's an old dark house complete with eccentric neighbours (like Raymond Hatton as a local hermit) and maybe even a ghost. Top billed Zasu Pitts is Nora, the housekeeper who expects to see a spirit around every corner. Throw in a cop (James Gleason) who is certain Brand is a criminal and we have a picture which is packed with action and surprises.  You will notice right away that the script writer was at a loss to come up with too much dialog because a lot of characters repeat the same lines over and over. Yoganda (C. Henry Gordon) a Hindu mystic (which movies of that time were loaded with) says ""Evil is on the way."" many times and I lost count of how often Ms. Pitts says ""Something always happens to somebody!"". There are many suspects and two characters (Mr. Gleason as the stereotype dumb cop and Roscoe Karns as Mr. Lyon's pal) who serve as comedy relief. The house itself is appropriately spooky looking (in fact I think the same set was used in THE PHANTOM (1931)) with lots of secret passages and violin music coming out of empty rooms but somehow you never really get a feeling of danger. Maybe it's because no one in the movie, and I do mean no one!, is entirely what they seem to be. It all comes out right in the end though; but to go into any more detail would spoil it for you.  Watch carefully for Robert Frazer (from WHITE ZOMBIE) and Frank Reicher (best remembered as Capt. Engelhorn from KING KONG) to pop up among the suspects.  THE CROOKED CIRCLE is a fun film. Some aspects of the plot are predictable and then again several others are not. I suspect you will enjoy it."
49,1,"For Greta Garbo's first talking picture, MGM wisely chose Eugene O'Neill's Pultizer Prize winning 1921 play ANNA Christie.   Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).   This little change is interesting. Like too many films accused (by those who want MOVIES to be MOVIES and ignore their origins) of being ""little more than filmed stage plays,"" the problem is not the play but the movie makers who wouldn't be more faithful to the property. By diluting a great cinematic stage work so it wouldn't offend anyone, or opening it up because they COULD, too many lose the very qualities which made the piece worth filming in the first place.   Fortunately, the respect the studio had for both O'Neill and Garbo allowed ANNA Christie to survive the normally destructive process admirably in Frances Marion's generally sensitive screen adaptation. Wonder of wonders, Marion even allows the POINT of the scene where Garbo's Anna reveals her past on ""the farm"" to the man she badly wants to marry and the father who sent her there in tact! What the League of Decency must have thought of that!   The source play's greatest problem has always been that Chris's friend Marthy tends to walk away with the first act and then disappears from the last two so that Anna can take stage - the two sides of the genuinely good woman men don't always recognize.   The perfectly cast Marie Dressler (who had cut her teeth on the Broadway stage as well before going to Hollywood) is the perfect balance for Garbo's Anna in this area as well and the fast moving film at only 90 minutes, doesn't allow us too much time to miss her - one of the few benefits from atmosphere being shown rather than eloquently described in the original - AND screenwriter Marion is wise enough to stray from O'Neill to bring Dressler back for a touching scene two thirds of the way through the film that will remind many of Julie Laverne's second act appearance in SHOW BOAT.   Anna and Marthy's early scene together on screen (16 minutes into the film) taking each other's measure and setting up all the tension of the rest of the story is among the most affecting scenes in the entire piece. Not to be missed.   ANNA Christie is great tragic play and a good film drama. It's hard to imagine that a latter day remake, which would almost certainly lose the grit and atmosphere of this 1930 remake (it was first filmed without sound in 1923 - also with George Marion's original Broadway Chris) could improve on this excellent filming.   The internal scenes hew closest to the play, but the exteriors shouldn't be missed by anyone with an eye to atmosphere. While the background screen work is not to modern technical standards, the backgrounds give a better glimpse than most films of the era of the actual world in which the screen play is set (especially in the New York harbor).  Nearly all Garbo's naturalistic performances of the sound era have held up superbly (only the too often parodied death scene from CAMILLE, 7 years later, will occasionally draw snickers because of the heavy handed direction and the parodies), but this ANNA Christie, together with the variety of her 1932 films, MATA HARI and GRAND HOTEL, and the sublime Lubitsch touch on her 1939 comedy, NINOTCHKA (""Garbo laughs!""), surely stand as her best.  O'Neill fans who are taken with this play at the edge of his lauded ""sea plays,"" should track down the fine World War II shaped film released in the year before the U.S. entered the conflict, THE LONG VOYAGE HOME (1940). It is almost as skillfully drawn from those sea plays as this one is from ANNA Christie, and features a youngish John Wayne in one of his rare non-Westerns supporting a fine cast of veteran actors showing him the way."
50,1,"I got this movie out a week after the death of Ichikawa Kon - I suppose if there is one way to mark the passing of a great director, its to raise a glass of wine to him while watching one of his greatest movies. Ichikawa had one of the finest careers in Japanese film, but as he never had a distinctive style or theme he often seems to be overlooked compared to his near contemporaries such as Ozu and Kurosawa (he was a little younger than them, but not by much). He is one of those directors who defies auteur theories - its likely that his wife (who wrote the screenplay for this and many other of his movies) was as much responsible for the quality of the movies as he was. But at his best, he was as good as any Japanese film maker at the time. In particular, he had great technical skills, allowing him to tell complex stories in an accessible manner. But in terms of theme, this movie could hardly be simpler - war is hell. No really, its seriously hell.  Fire on the Plain doesn't follow the normal war genre rules. There is no real beginning - we start as the wretched Tamura, who is a regular private (although it is implied he is more thoughtful and educated than most of the others - at one stage it is shown he understands English, but he clams up when the others ask him how he knows it) is ordered to hospital, as his unit is already in an appalling state. The soldiers are defeated and starving to death. They are no longer an army, just a rag bag group of refugees - hunted by the locals, and pretty much ignored by the Americans, who have bigger fish to fry. Hunger and despair is driving the soldiers to the edge and beyond of madness.  In typical Ichikawa style, its not all just grim - its oddly funny in parts (a very black humour of course).  The high points of this movie to me are the outstanding performances from the leads and the vivid photography. The characters, in all their humanity, but also their complete loss of humanity, are all too believable. This is that rare film - one which will refuse to erase itself from your head, even if you want to forget it."
68,1,"People who thought that THE CHRONICLES OF RIDDICK sucked harder than the black hole that swallowed up EVENT HORIZON, probably didn't see the movie that spawned Vin Diesel's skin-headed killer to begin with, and probably have no intention of doing so. Too bad, because PITCH BLACK actually does kick major ass.  Directed by genre vet David Twohy, (WARLOCK and the excellent but underrated BELOW) and written by siblings Jim and Ken Wheat (LIES, SILENT SCREAM), PITCH BLACK begins with an 'ALIEN'-esque prologue. When a combination cargo freighter/passenger ship is badly damaged by a freak meteor shower (in which the captain is also killed), the co-pilot, Carolyn Fry (SILENT HILL'S Radha Mitchell) has an important decision to make: ditch the cargo or the passengers? Close to picking ore over occupants, the crash landing derails her ultimate course of action.  No matter, because the catastrophic landing has been made on a foreboding rock that once held a mining colony. Amongst the survivors are a couple of settlers, Shazza (FARSCAPE's Claudia Black) and Zeke (John Moore); an Imam (Keith David) and his young followers (can you say ""red shirts"" boys and girls?); an antiques dealer named Paris Ogilvie (Lewis Fitz-Gerald); a 'young boy' named Jack (Rhianna Griffith), and the most controversial members of the group: a Marshall named Johns (the excellently slimy Cole Hauser) and his prisoner...a dangerous murderer named Riddick (Diesel).   How the group dynamics shake out make for a lot of the dramatic tension, especially with concerns about Riddick and how many people he might slice and dice if he ever gets away. But no one here gets out alive, as the saying goes, and the biggest twists have less to do with how they get along, than how they'll survive when they discover the unthinkable. They are not alone on the planetoid. Things that are hungry, taloned and quick are slithering around just where they can't be seen, living in the darkness where they can survive and thrive. They want the flesh of the new arrivals to sate their appetites, but they can't come out into the searing daylight to forage for food.  Does the phrase ""total eclipse"" make things a little more interesting? You betcha. Hence the more-than-fitting title.  Vin, more monosyllabic than Clint Eastwood's Dirty Harry on his grumpiest day, dripping more testosterone than sweat, has a field day here with a character that really does seem worth a sequel or two, and Hauser, oozing menace and bile is every bit as good as his dad Wings was at on-screen villainy. Surprisingly, though, Mitchell holds her own and manages to be strong and sympathetic as Fry. You would expect no less than a strong showing from Black, She Who Once Was 'Aeryn Sun', and she doesn't disappoint. (Too bad her role wasn't bigger, but that's all I'll say about it.) And David makes his usual indelible impression as the holy man whose faith will truly be tested in the very pit of Hell itself.  The pace moves faster than Riddick slipping up behind his prey with a shank in his teeth, and once the darkness descends, the terror and tension never let up, pretty much as in other classic sci-fi/horror flicks which this imitates. But if imitation truly is the sincerest form of flattery, Dave Twohy and the Wheats deserve major backslaps for getting this one right with a vengeance, and for giving us an ending that is anti-Hollywood to the max.  I don't want to spoil the surprises, so I won't say much more, except that if you saw CHRONICLES first and weren't too happy, give PITCH BLACK a chance anyway. And if you've seen neither, definitely start with this one.   I don't know what Vin is up to now, but he could certainly do worse than to give these guys a call again. I'd love to see what they would dream up next..."
73,1,"I suspect there's some revisionist history going on here,but one definitely comes away with the feeling that Patrice Lumumba was a trouble-maker who incited his people to violence from the moment the Congo declared independence.His inability to control his people and his decision to bring in Soviet help to get his military back in line was obviously what got the United States involved and led to his assassination.However,by replacing him with Mobutu,the United States didn't solve anything.They made the situation just as bad.Well-acted with excellent cinematography and a rousing score.Definitely worth seeing."
75,0,"Okay people, I have to agree with almost everyone else's reviews here. The characters. Are. Stupid. They're ALL stereotypical, and yet have nice clothes and are always skinny.  Don't even get me started on Jamie Lynn's role as ZOEY. Zoey is a pretty, popular, tan, blonde young teen who everyone just LOVES! She has a ""rebellious"", great, personality that everyone agrees with no matter how dumb or extreme it is. Most annoying of all: her voice is so darn bubbly and obnoxious. ""OMG!""  Take for example the first episode. The moment she steps onto the huge PCA campus, everyone seems to love her. The boys want to ask her out, the girls want to be her friend, etc. Thinking she's all that, the episode plays out with Zoey always being the center of attention; she is the so-called best player of the unofficial girls basketball team, confident, and has everyone pity her when she weakly gets hit in the face. Oh boo-hoo.  My favorite character by far is this whole series is a girl that appears much later into the show, Lauren or something, who is the ONLY person ever introduced in the show to hate Zoey.  And Zoey doesn't even seem to be very loyal to her friends sometimes. In one episodes she even calls her friend a freak without EVER apologizing and doesn't show the least bit regret in doing so.  Zoey is ALWAYS the best:  -Desiging professional T-shirts and backpacks (which become a big hit)  -coming up with VERY elaborate schemes BY HERSELF to teach a single person a lesson.   -Flawless grades   -Taking the blame for stuff that wasn't even related to her just so everyone else could be happy.  -Coming up with a commercial that was so good it was put on TV. The list goes on and on...  Ugh. She has no acting talent. She's always the perfect person. She acts snotty and rebellious and preppy and...UGH! Can't stand her.  Not only that, but everyone in the show always has great clothes. EVEN THE NERD! Her wardrobe is better than mine, and mine is pretty freaking decent.  No one cares if everyone at PCA loves you, Zoey, and would do anything for you, even if it meant giving their right arm.  BUT regardless of these cardboard characters, the plots are creative. Not everyday things. They're interesting and amusing. The humor is usually good-natured and fun, but the characters are so paper flat that it's hard to enjoy it.  This show would be really good if Dan Schnieder put a bit more time thinking of the type of characters he wanted, because they are so typical, so boring that's it's lame and stupid.  Point: No one's the least bit overweight, everyone has stylish clothes, Zoey is the definition of Mary-sue, the story lines are well-thought out, and the humor is laughable. But again, I want to emphasize that the characters taint the show. Watch the show if you must, but don't say I didn't warn you if your eyes start to bleed."
86,1,"""Jaded"" should not be considered as en erotic thriller because the sex scenes are not for viewing pleasure unlike movies like ""Indecent Behavior"" or ""Friend Of The Family"".   ""Jaded"" is not an easy watch as it's story is difficult to conceive and it's not that common in society. From the beginning of the movie, with the first scene, you expect more strong scenes.   The raping scene wasn't (in my opinion) a well created scene. I think that the director didn't use proper camera techniques overall in the movie. That's why it looks sometimes dull and becomes boring almost near the end.  The performances are extremely good from all the five female characters. These women gave strong, intense, but believable performances that demonstrate the actresses' dramatic abilities.   The legal concepts helped a lot to understand the plot's difficulty because the legal term of sodomy is different from a simple raping. From the point of view of Meg's defense, sodomy needs to be penalized as a raping (a huge crime grade B) although it's a different crime. Pat and Alex's defense claims that Meg enjoyed and asked for it. This is where the movie turns interesting to see who is trying to tell the truth. The only thing for sure is that the sex scene fits into a legal definition of a crime.   Watch ""Jaded"" if you like legal issues that aren't very common in your society. If not, give it a try because it's a very good and strong drama."
98,0,"Standard ""Disease outbreak in remote area; expert who happens to be vacationing in the area takes charge"" movie. There are only a few deviations from the norm. One is that the kids involved are pretty reasonable from the outset. Usually they are monsters who repeatedly gum up the works until they redeem themselves in the end. Another is that the local medicine man/witch doctor who is normally an impediment early on is never completely discounted or redeemed in the end. Perhaps since this seems to have been made for the faith oriented PAX channel, they didn't want to seem too judgmental about the faithful. Finally, there were no evil local politicians/leisure industry bigwigs trying to cover the whole thing up. The lack of these stereotypes was refreshing -- if we have the PAX channel to thank for that I may have to sample a few more of their offerings. Aside from that, however, this was pretty standard stuff. You've seen it all before."
118,1,"I was blubbing like an idiot during the last ten minutes of this exceptional piece of television. I have to say that the idea of sitting down to view 90 minutes of what was bound to be pretty depressing material on a Sunday, was not a welcome one. The thought of yet another, over worthy, BAFTA winning possibility did not enthuse me......However the end result knocked me for 6. This is some of the best television I have seen in ages. For years I was under the impression that all originality had left the BBC's drama department. Our Friends in the North was the last production that truly blew me away and that was 10 years ago. However faith is restored and honour is satisfied. David Tenant was incredible! So many actors I can think of would have really gone to town on a part like this, but never once did I see Mr Tenant as an actor or as the Doctor, all I saw was Alan Hamilton. I haven't had my heart wrenched this much since Daniel Craigs performance as Geordie Peacock all those years ago. Sarah Parish was also incredible and I really hope this role brings her better roles in the future. All of the cast were great but special mention must go to the director who really placed us inside Alans head. The toaster scene, in particular, made me feel quite queasy."
